round_epochs,loss,mean_absolute_error,lr,first_neuron,hidden_layers,batch_size,epochs,dropout,optimizer,shapes,activation,losses
300,62.26883277219195,5.888570433204991,0.001,128,2,10,300,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,48.517899497130315,5.395262647151214,0.01,64,3,10,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,3143.9436121411773,50.39337781680528,0.001,32,1,10,300,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,58.41529614438293,5.799347703174878,0.001,128,4,10,300,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,48.538670582339144,5.377736903921616,0.01,128,1,10,300,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,47.73613214932279,5.372079181231661,0.01,32,1,10,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,1803.6726316109232,37.962422419253585,0.001,64,3,96,300,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,1947.061525687644,39.4620606734456,0.001,64,2,96,300,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,677.9820598830826,22.928221531177996,0.01,64,2,96,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,1049.864978983655,28.674570382465415,0.001,128,4,96,200,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
500,50.057529783468645,5.483071713952974,0.01,128,4,96,500,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,1109.547632173459,29.677867063179544,0.001,64,1,96,300,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
400,54.85325018784601,5.743987835680468,0.01,32,3,10,400,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
500,52.92339704061548,5.664280314233079,0.01,32,3,10,500,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,1807.262440296179,38.06637343539987,0.001,32,2,10,200,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,2990.165254701301,49.144870435770386,0.001,64,2,10,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,3189.3077746975805,50.79915933565061,0.01,32,3,96,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,265.1813497587283,13.28983622725292,0.001,32,3,10,300,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,47.80575674030638,5.372450772884621,0.01,64,4,10,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,163.0197789650725,10.142506132111205,0.001,128,3,10,300,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,51.38768264042434,5.52756240437474,0.01,32,3,10,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
400,168.36620336084323,10.48635177934591,0.001,128,1,10,400,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,410.11619940551196,17.4917415466543,0.001,64,3,10,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
400,444.53751130697367,18.010273129159955,0.001,64,4,96,400,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
500,1543.2682689192109,35.09831935689196,0.01,32,2,96,500,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
500,1555.2444843344974,35.24847802368727,0.001,128,2,96,500,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
500,1138.9994042743735,30.090628013083464,0.001,64,3,96,500,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,995.9833033689156,28.07917139607091,0.001,128,4,96,200,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
200,502.3123784922235,19.46119871007682,0.01,128,3,96,200,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,1669.9628450595837,36.43068322388258,0.001,32,3,96,300,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,864.0196226621003,26.035011203607656,0.001,64,4,96,300,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,566.9100454304075,20.800946266420425,0.01,128,3,96,300,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
300,1820.6248031123991,38.250274693361625,0.001,32,3,96,300,0,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
500,1284.261957265265,31.87269932443645,0.001,64,1,96,500,0.05,<class 'keras.optimizers.RMSprop'>,brick,relu,mean_squared_error
